Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,AveragePrice,RangePerPrice,EnergyEfficiency,SpeedCategory,RangeCategory,PriceCategory,Drive_encoded,SpeedCategory_encoded,RangeCategory_encoded,PriceCategory_encoded
Porsche Taycan 4S,71 kWh useable battery          Available since May 2020,4.0,250.0,395.0,180.0,970.0,All Wheel Drive,4,108867.0,86500.0,97683.5,0.004043630258638781,2.18232044198895,Fast,Medium,Mid-range,0,0,1,2
Porsche Taycan 4S Plus,83.7 kWh useable battery          Available since April 2020,4.0,250.0,460.0,182.0,1130.0,All Wheel Drive,4,114389.0,90406.0,102397.5,0.004492253304491765,2.5136612021857925,Fast,Long,Premium,0,0,0,3
Mercedes EQV 300 Long,90 kWh useable battery          Available since September 2020,12.1,160.0,305.0,295.0,310.0,Front Wheel Drive,7,71626.0,83530.0,77578.0,0.003931476301576458,1.0304054054054055,Medium,Medium,Mid-range,1,1,1,2
Lexus UX 300e,45 kWh useable battery          Available since November 2020,7.5,160.0,235.0,191.0,150.0,Front Wheel Drive,5,47550.0,0.0,23775.0,0.009883916554508747,1.2239583333333333,Medium,Short,Budget,1,1,2,0
BMW i4 eDrive40,80.7 kWh useable battery          Available since November 2021,5.7,190.0,470.0,172.0,730.0,Rear Wheel Drive,5,59200.0,57890.0,58545.0,0.008027875516687733,2.7167630057803467,Medium,Long,Mid-range,2,1,0,2
Renault Twingo Electric,21.3 kWh useable battery          Available since November 2020,12.6,135.0,130.0,164.0,0.0,Rear Wheel Drive,4,28000.0,0.0,14000.0,0.009285051067780872,0.7878787878787878,Slow,Short,Budget,2,2,2,0
Fiat 500e Cabrio 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0,150.0,230.0,162.0,380.0,Front Wheel Drive,4,37990.0,33645.0,35817.5,0.0064212627552800924,1.4110429447852761,Slow,Short,Budget,1,2,2,0
Skoda Enyaq iV 60,58 kWh useable battery          Available since April 2021,8.7,160.0,325.0,178.0,440.0,Rear Wheel Drive,5,0.0,38970.0,19485.0,0.01667864107564405,1.8156424581005586,Medium,Medium,Budget,2,1,1,0
Skoda Enyaq iV 80,77 kWh useable battery          Available since April 2021,8.6,160.0,420.0,183.0,530.0,Rear Wheel Drive,5,48900.0,42925.0,45912.5,0.009147636316116176,2.282608695652174,Medium,Long,Budget,2,1,0,0
Skoda Enyaq iV 80x,77 kWh useable battery          Available since June 2021,6.9,160.0,400.0,193.0,500.0,All Wheel Drive,5,0.0,51765.0,25882.5,0.01545386056754303,2.0618556701030926,Medium,Medium,Budget,0,1,1,0
Skoda Enyaq iV RS,77 kWh useable battery          Available since October 2022,6.2,180.0,390.0,197.0,540.0,All Wheel Drive,5,63300.0,0.0,31650.0,0.012321885564437142,1.9696969696969697,Medium,Medium,Budget,0,1,1,0
Fiat 500e Hatchback 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0,150.0,235.0,159.0,390.0,Front Wheel Drive,4,34990.0,30645.0,32817.5,0.0071605953958895135,1.46875,Slow,Short,Budget,1,2,2,0
Audi Q4 Sportback e-tron 35,52 kWh useable battery          Available since August 2021,9.0,160.0,295.0,176.0,370.0,Rear Wheel Drive,5,0.0,0.0,0.0,295.0,1.6666666666666667,Medium,Short,,2,1,2,4
Nissan Ariya 63kWh,63 kWh useable battery          Available since July 2022,7.5,160.0,320.0,197.0,430.0,Front Wheel Drive,5,47490.0,46145.0,46817.5,0.006834905005499963,1.6161616161616161,Medium,Medium,Budget,1,1,1,0
Nissan Ariya 87kWh,87 kWh useable battery          Available since July 2022,7.6,160.0,435.0,200.0,520.0,Front Wheel Drive,5,58990.0,51895.0,55442.5,0.007845825029083662,2.1641791044776117,Medium,Long,Mid-range,1,1,0,2
Nissan Ariya e-4ORCE 87kWh - 225 kW,87 kWh useable battery          Available since July 2022,5.7,200.0,420.0,207.0,500.0,All Wheel Drive,5,61990.0,54595.0,58292.5,0.0072049199310386235,2.019230769230769,Medium,Long,Mid-range,0,1,0,2
Nissan Ariya e-4ORCE 87kWh - 290 kW,87 kWh useable battery          Available since April 2023,5.1,200.0,420.0,207.0,500.0,All Wheel Drive,5,71490.0,0.0,35745.0,0.011749566385050076,2.019230769230769,Medium,Long,Budget,0,1,0,0
Volkswagen ID.4 Pro Performance,77 kWh useable battery          Available since January 2021,8.5,160.0,410.0,188.0,520.0,Rear Wheel Drive,5,46335.0,46035.0,46185.0,0.008877148919586022,2.1693121693121693,Medium,Long,Budget,2,1,0,0
Mercedes EQV 300 Extra-Long,90 kWh useable battery          Available since October 2020,12.1,160.0,305.0,295.0,310.0,Front Wheel Drive,7,72519.0,0.0,36259.5,0.00841135671047007,1.0304054054054055,Medium,Medium,Budget,1,1,1,0
Lucid Air Grand Touring,112 kWh useable battery          Available since February 2023,3.2,270.0,665.0,168.0,840.0,All Wheel Drive,5,174500.0,0.0,87250.0,0.00762168914969456,3.93491124260355,Very Fast,Very Long,Mid-range,0,3,3,2
Lucid Air Touring,88 kWh useable battery          Expected from June 2023,3.3999999999999995,250.0,550.0,160.0,960.0,All Wheel Drive,5,120000.0,0.0,60000.0,0.009166513891435142,3.4161490683229814,Fast,Very Long,Mid-range,0,0,3,2
Lucid Air Pure,88 kWh useable battery          Expected from June 2023,4.2,200.0,560.0,157.0,980.0,Rear Wheel Drive,5,100000.0,0.0,50000.0,0.011199776004479911,3.5443037974683542,Medium,Very Long,Budget,2,1,3,0
Fiat 500e Hatchback 24 kWh,21.3 kWh useable battery          Available since November 2020,9.0,135.0,135.0,158.0,230.0,Front Wheel Drive,4,30990.000000000004,0.0,15495.000000000002,0.008711925658234383,0.8490566037735849,Slow,Short,Budget,1,2,2,0
Fiat 500e 3+1 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0,150.0,235.0,159.0,390.0,Front Wheel Drive,4,36990.0,0.0,18495.0,0.01270544982698962,1.46875,Slow,Short,Budget,1,2,2,0
Mercedes EQC 400 4MATIC,80 kWh useable battery          Available since November 2020,5.1,180.0,370.0,216.0,440.0,All Wheel Drive,5,66069.0,72335.0,69202.0,0.005346589020707195,1.705069124423963,Medium,Medium,Mid-range,0,1,1,2
Citroen e-SpaceTourer M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1,130.0,185.0,250.0,290.0,Front Wheel Drive,7,53640.0,47495.0,50567.5,0.0036584039471212314,0.7370517928286853,Slow,Short,Mid-range,1,2,2,2
Citroen e-SpaceTourer XL 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1,130.0,180.0,257.0,290.0,Front Wheel Drive,7,54430.0,48335.0,51382.5,0.003503070051670283,0.6976744186046512,Slow,Short,Mid-range,1,2,2,2
Citroen e-SpaceTourer M 75 kWh,68 kWh useable battery          Available since February 2021,13.3,130.0,265.0,257.0,290.0,Front Wheel Drive,7,59640.0,0.0,29820.0,0.008886355253009624,1.0271317829457365,Slow,Short,Budget,1,2,2,0
Citroen e-SpaceTourer XL 75 kWh,68 kWh useable battery          Available since February 2021,13.3,130.0,260.0,262.0,280.0,Front Wheel Drive,7,60430.0,0.0,30215.0,0.008604712734974847,0.9885931558935361,Slow,Short,Budget,1,2,2,0
Opel Zafira-e Life M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1,130.0,185.0,250.0,290.0,Front Wheel Drive,7,63250.0,50630.0,56940.0,0.0032489770112923903,0.7370517928286853,Slow,Short,Mid-range,1,2,2,2
Opel Zafira-e Life L 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1,130.0,180.0,257.0,290.0,Front Wheel Drive,7,64075.0,50990.0,57532.5,0.0031286120260370044,0.6976744186046512,Slow,Short,Mid-range,1,2,2,2
Opel Zafira-e Life M 75 kWh,68 kWh useable battery          Available since February 2021,13.3,130.0,265.0,257.0,290.0,Front Wheel Drive,7,69250.0,0.0,34625.0,0.0076532085715936005,1.0271317829457365,Slow,Short,Budget,1,2,2,0
Opel Zafira-e Life L 75 kWh,68 kWh useable battery          Available since February 2021,13.3,130.0,260.0,262.0,280.0,Front Wheel Drive,7,70075.0,0.0,35037.5,0.007420408978694865,0.9885931558935361,Slow,Short,Budget,1,2,2,0
Peugeot e-Traveller Standard 50 kWh,46.3 kWh useable battery          Available since November 2020,13.1,130.0,185.0,250.0,290.0,Front Wheel Drive,7,53640.0,49100.0,51370.0,0.0036012536255864203,0.7370517928286853,Slow,Short,Mid-range,1,2,2,2
Peugeot e-Traveller Long 50 kWh,46.3 kWh useable battery          Available since November 2020,13.1,130.0,180.0,257.0,290.0,Front Wheel Drive,7,54430.0,54275.0,54352.5,0.003311654263294912,0.6976744186046512,Slow,Short,Mid-range,1,2,2,2
Peugeot e-Traveller Standard 75 kWh,68 kWh useable battery          Available since February 2021,14.3,130.0,265.0,257.0,290.0,Front Wheel Drive,7,59640.0,0.0,29820.0,0.008886355253009624,1.0271317829457365,Slow,Short,Budget,1,2,2,0
Peugeot e-Traveller Long 75 kWh,68 kWh useable battery          Available since February 2021,14.3,130.0,260.0,262.0,280.0,Front Wheel Drive,7,60430.0,0.0,30215.0,0.008604712734974847,0.9885931558935361,Slow,Short,Budget,1,2,2,0
Porsche Taycan ,71 kWh useable battery          Available since February 2021,5.4,230.0,410.0,173.0,1010.0,Rear Wheel Drive,4,88399.0,75500.0,81949.5,0.005003020115801612,2.3563218390804597,Fast,Long,Mid-range,2,0,0,2
Porsche Taycan Plus,83.7 kWh useable battery          Available since February 2021,5.4,230.0,475.0,176.0,1170.0,Rear Wheel Drive,4,94123.0,79549.0,86836.0,0.005470018540483895,2.6836158192090394,Fast,Long,Mid-range,2,0,0,2
Tesla Model S Dual Motor,95 kWh useable battery          Available since January 2023,3.2,250.0,570.0,167.0,790.0,All Wheel Drive,5,112990.0,100000.0,106495.0,0.005352313701923077,3.392857142857143,Fast,Very Long,Premium,0,0,3,3
Tesla Model S Plaid,95 kWh useable battery          Available since November 2022,2.1000000000000005,282.0,550.0,173.0,770.0,All Wheel Drive,5,137990.0,125000.0,131495.0,0.004182636734197238,3.160919540229885,Very Fast,Very Long,Premium,0,3,3,3
Tesla Model X Dual Motor,95 kWh useable battery          Available since January 2023,3.9,250.0,470.0,202.0,650.0,All Wheel Drive,7,120990.0,108000.0,114495.0,0.004104946897708217,2.315270935960591,Fast,Long,Premium,0,0,0,3
Tesla Model X Plaid,95 kWh useable battery          Available since November 2022,2.6000000000000005,262.0,455.0,209.0,630.0,All Wheel Drive,7,140990.0,128000.0,134495.0,0.0033830002379252916,2.1666666666666665,Very Fast,Long,Premium,0,3,0,3
Mini Cooper SE ,28.9 kWh useable battery          Available since March 2021,7.3,150.0,180.0,161.0,260.0,Front Wheel Drive,4,35700.0,29000.0,32350.0,0.005563970201848474,1.1111111111111112,Slow,Short,Budget,1,2,2,0
JAC iEV7s ,39 kWh useable battery          Available since February 2021,12.0,132.0,225.0,173.0,160.0,Front Wheel Drive,5,0.0,0.0,0.0,225.0,1.293103448275862,Slow,Short,,1,2,2,4
Volkswagen ID.4 Pure Performance,52 kWh useable battery          Available since January 2021,9.0,160.0,285.0,182.0,360.0,Rear Wheel Drive,5,0.0,40275.0,20137.5,0.014151997417881174,1.5573770491803278,Medium,Short,Budget,2,1,2,0
Audi e-tron GT quattro,85 kWh useable battery          Available since March 2021,4.1,245.0,420.0,202.0,1030.0,All Wheel Drive,4,106050.0,84000.0,95025.0,0.004419842990339486,2.0689655172413794,Fast,Long,Mid-range,0,0,0,2
Hyundai Kona Electric 39 kWh,39.2 kWh useable battery          Available since June 2021,9.9,155.0,250.0,157.0,220.0,Front Wheel Drive,5,36400.0,32450.0,34425.0,0.007261953174925928,1.5822784810126582,Medium,Short,Budget,1,1,2,0
Hyundai Kona Electric 64 kWh,64 kWh useable battery          Available since June 2021,7.9,167.0,395.0,162.0,370.0,Front Wheel Drive,5,42900.0,37750.0,40325.0,0.009795169369637455,2.423312883435583,Medium,Medium,Budget,1,1,1,0
Porsche Taycan 4S Cross Turismo,83.7 kWh useable battery          Available since July 2021,4.1,240.0,425.0,197.0,1050.0,All Wheel Drive,4,114222.0,91000.0,102611.0,0.00414181577203446,2.1464646464646466,Fast,Long,Premium,0,0,0,3
Porsche Taycan Turbo Cross Turismo,83.7 kWh useable battery          Available since July 2021,3.3,250.0,400.0,209.0,980.0,All Wheel Drive,4,157776.0,120900.0,139338.0,0.002870696646308643,1.9047619047619047,Fast,Medium,Premium,0,0,1,3
Porsche Taycan Turbo S Cross Turismo,83.7 kWh useable battery          Available since July 2021,2.8999999999999995,250.0,385.0,217.0,950.0,All Wheel Drive,4,191096.0,143400.0,167248.0,0.002301956962373467,1.7660550458715596,Fast,Medium,Luxury,0,0,1,1
Kia EV6 GT,74 kWh useable battery          Available since April 2022,3.5,260.0,370.0,200.0,970.0,All Wheel Drive,5,72990.0,62645.0,67817.5,0.005455738478438774,1.8407960199004976,Very Fast,Medium,Mid-range,0,3,1,2
BMW iX xDrive40,71 kWh useable battery          Available since October 2021,6.1,200.0,360.0,197.0,480.0,All Wheel Drive,5,77300.0,69905.0,73602.5,0.004891071756098555,1.8181818181818181,Medium,Medium,Mid-range,0,1,1,2
BMW iX xDrive50,105.2 kWh useable battery          Available since November 2021,4.6,200.0,505.0,208.0,680.0,All Wheel Drive,5,100100.0,99785.0,99942.5,0.005052854862997593,2.416267942583732,Medium,Very Long,Mid-range,0,1,3,2
MG MG5 Electric Long Range,57.4 kWh useable battery          Available since March 2022,7.7,185.0,335.0,171.0,330.0,Front Wheel Drive,5,38490.0,30995.0,34742.5,0.00964209132643516,1.947674418604651,Medium,Medium,Budget,1,1,1,0
MG Marvel R Performance,65 kWh useable battery          Available since October 2021,4.9,200.0,330.0,197.0,390.0,All Wheel Drive,5,50990.0,0.0,25495.0,0.01294320677753373,1.6666666666666667,Medium,Medium,Budget,0,1,1,0
Hyundai IONIQ 5 Standard Range 2WD,54 kWh useable battery          Available since July 2021,8.5,185.0,295.0,183.0,720.0,Rear Wheel Drive,5,43900.0,43150.0,43525.0,0.006777558241051326,1.6032608695652173,Medium,Short,Budget,2,1,2,0
Kia EV6 Standard Range 2WD,54 kWh useable battery          Available since October 2021,8.5,185.0,305.0,177.0,750.0,Rear Wheel Drive,5,46990.0,0.0,23495.0,0.01298093292475315,1.7134831460674158,Medium,Medium,Budget,2,1,1,0
Kia EV6 Long Range 2WD,74 kWh useable battery          Available since October 2021,7.3,185.0,410.0,180.0,1070.0,Rear Wheel Drive,5,51990.0,45245.0,48617.5,0.008433003897693265,2.265193370165746,Medium,Long,Budget,2,1,0,0
Kia EV6 Long Range AWD,74 kWh useable battery          Available since October 2021,5.2,185.0,400.0,185.0,1050.0,All Wheel Drive,5,55980.0,51745.0,53862.5,0.007426179138006256,2.150537634408602,Medium,Medium,Mid-range,0,1,1,2
Mercedes EQS 450+,107.8 kWh useable battery          Available since October 2021,6.2,210.0,640.0,168.0,960.0,Rear Wheel Drive,5,109551.0,105610.0,107580.5,0.005948978216514921,3.78698224852071,Fast,Very Long,Premium,2,0,3,3
Mercedes EQS 580 4MATIC,107.8 kWh useable battery          Available since October 2021,4.3,210.0,605.0,178.0,900.0,All Wheel Drive,5,141705.0,0.0,70852.5,0.008538745439533686,3.3798882681564244,Fast,Very Long,Mid-range,0,0,3,2
Volkswagen ID.4 Pure,52 kWh useable battery          Available since February 2021,10.9,160.0,285.0,182.0,360.0,Rear Wheel Drive,5,0.0,38845.0,19422.5,0.0146729477179705,1.5573770491803278,Medium,Short,Budget,2,1,2,0
Audi Q4 e-tron 40,76.6 kWh useable battery          Available since June 2021,8.5,160.0,405.0,189.0,510.0,Rear Wheel Drive,5,51900.0,49930.0,50915.0,0.007954277633749705,2.1315789473684212,Medium,Long,Mid-range,2,1,0,2
Audi Q4 e-tron 50 quattro,76.6 kWh useable battery          Available since July 2021,6.2,180.0,385.0,199.0,490.0,All Wheel Drive,5,57900.0,56310.0,57105.0,0.006741848492277519,1.925,Medium,Medium,Mid-range,0,1,1,2
Audi Q4 Sportback e-tron 50 quattro,76.6 kWh useable battery          Available since August 2021,6.2,180.0,400.0,192.0,500.0,All Wheel Drive,5,59900.0,57810.0,58855.0,0.006796248470844094,2.0725388601036268,Medium,Medium,Mid-range,0,1,1,2
Mercedes EQB 350 4MATIC,66.5 kWh useable battery          Available since February 2022,6.2,160.0,335.0,199.0,480.0,All Wheel Drive,7,58197.0,56810.0,57503.5,0.005825631037570973,1.675,Medium,Medium,Mid-range,0,1,1,2
Mercedes EQA 300 4MATIC,66.5 kWh useable battery          Available since May 2021,7.7,160.0,350.0,190.0,500.0,All Wheel Drive,5,53746.0,53010.0,53378.0,0.006556885666647932,1.8324607329842932,Medium,Medium,Mid-range,0,1,1,2
Mercedes EQA 350 4MATIC,66.5 kWh useable battery          Available since May 2021,6.0,160.0,350.0,190.0,500.0,All Wheel Drive,5,56424.0,54510.0,55467.0,0.0063099444724886425,1.8324607329842932,Medium,Medium,Mid-range,0,1,1,2
Toyota PROACE Verso M 75 kWh,68 kWh useable battery          Available since October 2021,13.1,130.0,265.0,257.0,290.0,Front Wheel Drive,7,64530.0,0.0,32265.0,0.008212979607016673,1.0271317829457365,Slow,Short,Budget,1,2,2,0
Toyota PROACE Verso L 75 kWh,68 kWh useable battery          Available since October 2021,13.1,130.0,260.0,262.0,280.0,Front Wheel Drive,7,65385.0,0.0,32692.5,0.007952651138605533,0.9885931558935361,Slow,Short,Budget,1,2,2,0
CUPRA Born 150 kW - 58 kWh,58 kWh useable battery          Available since October 2021,7.3,160.0,350.0,166.0,470.0,Rear Wheel Drive,5,39370.0,36475.0,37922.5,0.009229105963320897,2.095808383233533,Medium,Medium,Budget,2,1,1,0
CUPRA Born 170 kW - 58 kWh,58 kWh useable battery          Available since March 2022,6.6,160.0,345.0,168.0,460.0,Rear Wheel Drive,5,40750.0,39205.0,39977.5,0.008629638430656478,2.0414201183431953,Medium,Medium,Budget,2,1,1,0
CUPRA Born 170 kW - 77 kWh,77 kWh useable battery          Available since March 2022,7.0,160.0,450.0,171.0,570.0,Rear Wheel Drive,4,46450.0,41975.0,44212.5,0.010177886844515815,2.616279069767442,Medium,Long,Budget,2,1,0,0
BMW i4 M50,80.7 kWh useable battery          Available since November 2021,3.9,225.0,435.0,186.0,670.0,All Wheel Drive,5,70800.0,71085.0,70942.5,0.006131639967016006,2.3262032085561497,Fast,Long,Mid-range,0,0,0,2
Renault Megane E-Tech EV60 220hp,60 kWh useable battery          Available since April 2022,7.4,160.0,360.0,167.0,500.0,Front Wheel Drive,5,46600.0,36995.0,41797.5,0.00861274926133713,2.142857142857143,Medium,Medium,Budget,1,1,1,0
Peugeot e-Rifter Standard 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7,135.0,205.0,226.0,330.0,Front Wheel Drive,7,41240.0,32300.0,36770.0,0.005575045552201463,0.9030837004405287,Slow,Short,Budget,1,2,2,0
Peugeot e-Rifter Long 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7,135.0,200.0,232.0,320.0,Front Wheel Drive,7,42440.0,34300.0,38370.0,0.00521226968283339,0.8583690987124464,Slow,Short,Budget,1,2,2,0
MG Marvel R ,65 kWh useable battery          Available since October 2021,7.9,200.0,335.0,194.0,400.0,Rear Wheel Drive,5,46990.0,0.0,23495.0,0.014257745999319033,1.7179487179487178,Medium,Medium,Budget,2,1,1,0
Audi Q4 e-tron 45 quattro,76.6 kWh useable battery          Available since August 2021,6.9,180.0,385.0,199.0,490.0,All Wheel Drive,5,53990.0,0.0,26995.0,0.014261372055119277,1.925,Medium,Medium,Budget,0,1,1,0
Audi Q4 Sportback e-tron 40,76.6 kWh useable battery          Available since August 2021,8.5,160.0,425.0,180.0,540.0,Rear Wheel Drive,5,53900.0,51430.0,52665.0,0.008069722401549387,2.3480662983425415,Medium,Long,Mid-range,2,1,0,2
BMW iX3 ,74 kWh useable battery          Available since September 2021,6.8,180.0,385.0,192.0,520.0,Rear Wheel Drive,5,67300.0,64165.0,65732.5,0.005856983121239551,1.994818652849741,Medium,Medium,Mid-range,2,1,1,2
Renault Megane E-Tech EV40 130hp,40 kWh useable battery          Available since April 2022,10.0,150.0,250.0,160.0,360.0,Front Wheel Drive,5,42000.0,0.0,21000.0,0.011904195038331507,1.5527950310559007,Slow,Short,Budget,1,2,2,0
Mercedes EQS AMG 53 4MATIC+,107.8 kWh useable battery          Available since February 2022,3.3999999999999995,250.0,565.0,191.0,840.0,All Wheel Drive,5,155009.0,161860.0,158434.5,0.0035661199668003698,2.9427083333333335,Fast,Very Long,Luxury,0,0,3,1
Mercedes EQE 350+,90.6 kWh useable battery          Available since April 2022,6.4,210.0,525.0,173.0,780.0,Rear Wheel Drive,5,0.0,0.0,0.0,525.0,3.0172413793103448,Fast,Very Long,,2,0,3,4
MG ZS EV Standard Range,49 kWh useable battery          Available since November 2021,8.6,175.0,270.0,181.0,260.0,Front Wheel Drive,5,33990.0,29495.0,31742.5,0.008505678327846647,1.4835164835164836,Medium,Short,Budget,1,1,2,0
MG ZS EV Long Range,68.3 kWh useable battery          Available since November 2021,8.4,175.0,365.0,187.0,410.0,Front Wheel Drive,5,37990.0,31995.0,34992.5,0.010430508523011417,1.9414893617021276,Medium,Medium,Budget,1,1,1,0
Mercedes EQV 250 Long,60 kWh useable battery          Available since October 2021,12.0,160.0,205.0,293.0,190.0,Front Wheel Drive,7,68056.0,0.0,34028.0,0.0060242734138528905,0.6972789115646258,Medium,Short,Budget,1,1,2,0
Mercedes EQV 250 Extra-Long,60 kWh useable battery          Available since October 2021,12.0,160.0,205.0,293.0,190.0,Front Wheel Drive,7,68949.0,0.0,34474.5,0.005946251685979898,0.6972789115646258,Medium,Short,Budget,1,1,2,0
Opel Combo-e Life 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7,135.0,205.0,226.0,330.0,Front Wheel Drive,7,43050.0,34035.0,38542.5,0.005318665922918261,0.9030837004405287,Slow,Short,Budget,1,2,2,0
Opel Combo-e Life XL 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7,135.0,200.0,232.0,320.0,Front Wheel Drive,7,44750.0,34635.0,39692.5,0.005038608336377493,0.8583690987124464,Slow,Short,Budget,1,2,2,0
Citroen e-Berlingo M 50 kWh,46.3 kWh useable battery          Available since September 2021,11.7,135.0,205.0,226.0,330.0,Front Wheel Drive,5,37790.0,31495.0,34642.5,0.005917415965476929,0.9030837004405287,Slow,Short,Budget,1,2,2,0
Citroen e-Berlingo XL 50 kWh,46.3 kWh useable battery          Available since September 2021,11.7,135.0,200.0,232.0,320.0,Front Wheel Drive,7,43640.0,32495.0,38067.5,0.0052536874318662415,0.8583690987124464,Slow,Short,Budget,1,2,2,0
Tesla Model 3 ,57.5 kWh useable battery          Available since December 2021,6.1,225.0,380.0,151.0,630.0,Rear Wheel Drive,5,44668.0,42990.0,43829.0,0.008669860825918321,2.5,Fast,Medium,Budget,2,0,1,0
Volkswagen ID.5 Pro,77 kWh useable battery          Available since March 2022,10.4,160.0,430.0,179.0,540.0,Rear Wheel Drive,5,47935.0,50710.0,49322.5,0.008717953916490112,2.388888888888889,Medium,Long,Budget,2,1,0,0
Volkswagen ID.5 Pro Performance,77 kWh useable battery          Available since March 2022,8.4,160.0,430.0,179.0,540.0,Rear Wheel Drive,5,48970.0,52185.0,50577.5,0.008501636070662436,2.388888888888889,Medium,Long,Mid-range,2,1,0,2
Volkswagen ID.5 GTX,77 kWh useable battery          Available since March 2022,6.3,180.0,405.0,190.0,560.0,All Wheel Drive,5,56455.0,56545.0,56500.0,0.00716801472540309,2.1204188481675392,Medium,Long,Mid-range,0,1,0,2
Mercedes EQB 300 4MATIC,66.5 kWh useable battery          Available since February 2022,8.0,160.0,335.0,199.0,480.0,All Wheel Drive,7,55519.0,55310.0,55414.5,0.006045240050166469,1.675,Medium,Medium,Mid-range,0,1,1,2
Porsche Taycan GTS,83.7 kWh useable battery          Available since February 2022,3.7,250.0,450.0,186.0,1110.0,All Wheel Drive,4,134214.0,106000.0,120107.0,0.003746628034768708,2.406417112299465,Fast,Long,Premium,0,0,0,3
Porsche Taycan GTS Sport Turismo,83.7 kWh useable battery          Available since February 2022,3.7,250.0,425.0,197.0,1050.0,All Wheel Drive,4,135166.0,107000.0,121083.0,0.003509960027749331,2.1464646464646466,Fast,Long,Premium,0,0,0,3
Toyota bZ4X FWD,64 kWh useable battery          Available since June 2022,7.5,160.0,335.0,191.0,500.0,Front Wheel Drive,5,47490.0,45710.0,46600.0,0.00718868693804854,1.7447916666666667,Medium,Medium,Budget,1,1,1,0
